packet_len,time,eth_type,ip_len,ip_ttl,ip_proto,ip_flags,ip_frag,ip_tos,ip_id,has_ip,icmp_type,icmp_code,proto_type,has_tcp,has_udp,has_icmp,is_syn,is_ack,is_fin,is_rst,is_web,is_ssh,is_dns,tcp_sport,tcp_dport,tcp_flags,tcp_window,tcp_urgptr,udp_sport,udp_dport,udp_len
98,1782455346.979606,2048,84,64,1,DF,0,0,44763,1,8.0,0.0,ICMP,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
98,1782455347.069527,2048,84,255,1,DF,0,0,57,1,0.0,0.0,ICMP,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
98,1782455347.983543,2048,84,64,1,DF,0,0,44911,1,8.0,0.0,ICMP,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
98,1782455348.088541,2048,84,255,1,DF,0,0,58,1,0.0,0.0,ICMP,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
98,1782455348.986341,2048,84,64,1,DF,0,0,45048,1,8.0,0.0,ICMP,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
98,1782455349.045968,2048,84,255,1,DF,0,0,59,1,0.0,0.0,ICMP,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
98,1782455349.990667,2048,84,64,1,DF,0,0,45260,1,8.0,0.0,ICMP,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
98,1782455350.047317,2048,84,255,1,DF,0,0,60,1,0.0,0.0,ICMP,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
98,1782455350.995443,2048,84,64,1,DF,0,0,45298,1,8.0,0.0,ICMP,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
98,1782455351.073862,2048,84,255,1,DF,0,0,61,1,0.0,0.0,ICMP,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
98,1782455351.998342,2048,84,64,1,DF,0,0,45481,1,8.0,0.0,ICMP,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
98,1782455352.064027,2048,84,255,1,DF,0,0,62,1,0.0,0.0,ICMP,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
98,1782455353.002608,2048,84,64,1,DF,0,0,45519,1,8.0,0.0,ICMP,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
98,1782455353.084595,2048,84,255,1,DF,0,0,63,1,0.0,0.0,ICMP,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
98,1782455354.006639,2048,84,64,1,DF,0,0,45629,1,8.0,0.0,ICMP,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
98,1782455354.063303,2048,84,255,1,DF,0,0,64,1,0.0,0.0,ICMP,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
